,date,content,score,version,thumbs
0,2021-10-12 12:29:46,Tomei as duas doses mas só aparece uma,5,70.3.4,0
1,2021-10-12 08:50:13,Bom,5,70.3.4,0
2,2021-10-12 08:40:45,Excelente,5,70.3.4,0
3,2021-10-11 21:40:56,Ótimo principalmente nesse período que nossos empregadores vivem pedindo a carteira de vacinação digital via email 🙏🙏👏👏👏👏,5,70.3.4,0
4,2021-10-11 18:05:18,Não uso mais papel,5,70.3.4,0
5,2021-10-11 17:41:23,Excelente,5,70.3.4,0
6,2021-10-11 16:48:51,Gostei bastante do app simples e intuitivo criei o cadastro e fiz as devidas confirmações foi tudo direitinho tenho as informações q preciso na Palma da mão e se quiser posso deixar salvo no celular pra uma eventual emergência quando ir em um estabelecimento q exigirá o comprovante,5,70.3.4,0
7,2021-10-11 16:16:55,Otimo,5,70.3.4,0
8,2021-10-11 15:54:50,Parabéns a toda a equipe que desenvolveu o aplicativo. Além de intuitivo e bem rápido.,5,70.3.4,0
11,2021-10-11 12:41:22,Exelente,5,70.3.4,0
12,2021-10-11 06:32:24,Ótimo app,5,70.3.4,0
13,2021-10-10 21:11:53,Drenando a bateria.....,5,70.3.4,2
14,2021-10-10 19:20:49,Muito bom,5,70.3.4,0
15,2021-10-10 14:20:58,"Não tenho do que relamar baixei pra andar com minha carteira de vacinação digital da COVID 19, parabéns aos desenvolvedores. Esse app ainda têm muitos upgrades de melhoria a serem feitas como marca consultas e exames, ter a cesso a eles digitalmente, com o tempo acredito que isso será feito.",5,70.3.4,0
16,2021-10-10 05:07:46,Bom,5,70.3.4,0
17,2021-10-10 00:04:14,Excelente,5,70.3.4,0
18,2021-10-09 19:11:49,Top,5,70.3.4,1
19,2021-10-09 18:28:19,Muito bom!!,5,70.3.4,0
20,2021-10-09 16:54:15,Uso esporadicamente,5,70.3.4,0
21,2021-10-09 15:26:33,Bom,5,70.3.4,0
22,2021-10-09 13:04:41,Necessário,5,70.3.4,0
23,2021-10-09 09:24:21,Muito importante essa transformação digital!,5,70.3.4,0
24,2021-10-09 00:17:51,"Muito bom parabéns pela iniciativa... Funciona muito bem, prático... Fiquei surpreendido...",5,70.3.4,0
25,2021-10-08 22:52:05,Muito Bom!,5,70.3.4,0
27,2021-10-08 21:43:49,Funciona bem,5,70.3.4,0
28,2021-10-08 21:42:55,Exelente documento e com meus registro muito ageis.,5,70.3.4,0
29,2021-10-08 18:41:33,Ótimo app,5,70.3.4,0
30,2021-10-08 18:39:51,Muito bom tomei a vacina contra covid e ja esta registrado no meu app,5,70.3.4,0
31,2021-10-08 15:47:54,Show,5,70.3.4,0
32,2021-10-08 14:33:57,"Muito boa , só que tomei a vacina da gripe e não acusou",5,70.3.4,0
33,2021-10-08 14:08:49,"Sensacional. Única coisa boa desse desgoverno, e não fez mais que a obrigação",5,70.3.4,0
34,2021-10-08 09:47:24,Ótimo,5,70.3.4,0
35,2021-10-08 06:25:17,Atendeu todas as minhas expectativas...,5,70.3.4,0
36,2021-10-08 02:10:44,Nao to conseguindo fazer cadastro,5,70.3.4,0
37,2021-10-07 20:40:08,Ótimo,5,70.3.4,0
38,2021-10-07 20:39:47,Muito util,5,70.3.4,0
39,2021-10-07 20:33:01,Muito bom mais só tem um problema a segunda dose que tomei ate agora não entrou no sistema,5,70.3.4,0
40,2021-10-07 13:04:00,Muito bom,5,70.2.9,0
41,2021-10-07 12:44:31,Dei as 5 estrelas mais ate nao consegui entrar no aplicativo. Me ajudem.,5,70.3.4,0
42,2021-10-07 11:03:00,Mto bom,5,70.3.4,0
43,2021-10-06 23:18:16,Gostei muito!,5,70.3.4,0
44,2021-10-06 21:00:53,"Muito bom app, super rápido e fácil pra fazer o cadastro 😉",5,70.3.4,0
45,2021-10-06 19:10:34,Ótimo,5,70.3.4,0
46,2021-10-06 18:45:12,Top,5,70.3.4,0
47,2021-10-06 17:41:50,Excelente apk,5,70.3.4,0
48,2021-10-06 17:37:40,Ótimo,5,70.3.4,0
49,2021-10-06 16:28:37,Excelente,5,70.3.4,0
51,2021-10-06 13:01:40,Ótimo app,5,70.3.4,0
52,2021-10-06 08:30:59,Muito bom.,5,70.3.4,0
53,2021-10-06 08:20:25,Sus é tudo,5,70.3.4,0
54,2021-10-06 06:26:28,Bom!,5,70.3.4,0
55,2021-10-05 22:39:03,Parabéns aos desenvolvedores aplicativo .,5,70.3.4,0
56,2021-10-05 21:30:00,Tomei minha 2 dose faz 16 dias e ainda no atuizou,5,70.3.4,0
57,2021-10-05 17:55:01,Muito bacana a proposta!,5,70.3.4,0
58,2021-10-05 10:58:59,Show de bola,5,70.3.4,0
59,2021-10-05 10:45:10,Não está aparecendo as bandeiras para emissão do certificado em inglês ou espanhol,5,70.3.4,0
60,2021-10-05 09:12:30,"Achei bom o App. Prático e funcionando corretamente, emite o certificado digital que é muito melhor do que as cadernetas que as prefeituras fornecem.",5,70.3.4,0
61,2021-10-05 07:54:20,Além da expectativa!,5,70.3.4,0
62,2021-10-04 22:21:59,APP com funcionalidade 100%. Parabéns ao pessoal do SUS. Tomei a 2a dose dia 2 e já está no Certificado. 🇧🇷🇧🇷🇧🇷,5,70.3.4,0
