,date,content,score,version,thumbs
0,2021-10-27 15:30:10,"Não emitiu meu certificado de vacinação comprovando a duas doses, esse aplicativo devia está na CPI da covid 19 como atraso na vida dos brasileiros com a falta de comprometimento, já abrir o chamado inclusive caráter de urgência, espero que solucione até a data prevista e retorno para deixar outra avaliação, agora próximo a minha viagem faltando dias nada do conecte sus incluir minha primeira dose, já fiz chamado, abrir reclamação, liguei o 136 falei nada resolvido👌💵💰e o app comendo grana",1,70.4.3,1
1,2021-10-27 15:10:48,A cada 10 segundos a seção é expirada. e só aparece a segunda dose,1,70.4.2,0
2,2021-10-27 14:58:26,"É uma dificuldade para criar uma nova senha. O sistema é muito lento. Tomei a segunda dose a três semanas e até agora não consta no app, sendo que, a enfermeira disse que estaria no dia seguinte.",1,70.4.2,0
3,2021-10-27 14:09:33,Medio,1,70.4.2,0
4,2021-10-27 14:07:26,A meia hora tento no minimo fazer a minha conta e nada,1,70.4.3,0
5,2021-10-27 14:04:13,Fica pedindo senha toda hora e torna inviável seu uso devido a isso.,1,70.4.2,0
6,2021-10-27 12:54:49,Não faz login Aplicativo não funciona Como estado gasta dinheiro com uma empresa ou algum demente retardado que não consegue fazer um aplicativo?,1,70.4.1,0
7,2021-10-27 12:25:00,"Não estar aparecendo a opção de se cadastrar, conserte isso!!!!!!!",1,70.4.0,0
8,2021-10-27 11:40:22,"O aplicativo nem sequer está atualizado. Na minha carteira de vacinação digital consta que tomei somente a primeira dose da vacina contra a Covid-19, sendo que a segunda já foi aplicada em setembro ( a primeira dose foi julho ). Para que serve o aplicativo, se ele nem sequer informa os seus dados de forma correta?",1,70.4.3,0
9,2021-10-27 10:39:50,"App horrível ,péssimo",1,70.4.3,0
11,2021-10-27 10:37:45,Acesso muito complicado.,1,70.4.3,0
12,2021-10-27 05:57:04,"Esse App é PESIMO, é muuuito lento para abrir. Eu tenho 4 Filho, só consigo abrir conta de um único Filho. O app não tem opção para abrir uma nova conta ou entrar na conta de outro Filho. O desevolvedor ou tá aprendendo ou é muito burro.",1,70.4.2,0
13,2021-10-27 02:28:48,Cheirando fraude... não funciona! Mas tem uma opção para logar com dados do seu banco + senha. .... Cai quem quer,1,70.4.2,0
14,2021-10-27 01:14:44,Eu não consigo fazer o cadastro. Todas as tentativas me levaram ao inicio. Podiam corrigir para que todos os cidadãos conseguissem usar.,1,70.4.2,0
15,2021-10-27 01:12:01,Não consigo mais entrar depois que mudou.,1,70.4.2,0
16,2021-10-27 00:46:39,Horrivel! Impossível recuperar a senha. Vc entra em um labirinto. Muito mau elaborado.,1,70.4.2,0
17,2021-10-27 00:24:43,Trava muito não dá para mudar endereço muito fraco,1,70.4.2,0
18,2021-10-26 22:45:44,Estou tendo dificuldades de acessar minha conta. Totalmente travado! Simplesmente agora o App não abri mais!,1,70.4.2,0
20,2021-10-26 19:31:29,Desitala!!!!!!,1,70.4.1,0
21,2021-10-26 19:13:20,"Aplicativo horrível, não funciona!!",1,70.4.2,0
22,2021-10-26 18:59:05,"Isso é um lixo! Cada vê que você entra, pede a senha, mas a senha que você já havia feito não serve mais e pra fazer uma nova senha é um inferno. Desisto.",1,70.4.2,0
23,2021-10-26 18:39:22,"Simplesmente não consigo acessar minha conta, aparece que deu algum erro, mas quando eu tento a da minha mãe da certo. (App atualizado, fiz todo o processo de forma certa)",1,70.4.2,0
24,2021-10-26 18:02:37,Pq pedem a senha do nsso banco? Pq pergntam sobreo banco q usamos? O q tem a ver banco com vacina?,1,70.4.2,0
25,2021-10-26 17:22:13,Pra que fazer apps mobile desse tamanho?? É isso que dá usar frameworks genéricos pra economizar trabalho. Que se danem os que não têm celulares mais atuais.,1,70.4.2,0
27,2021-10-26 16:16:46,"Horrível, até agora não consegui nada nesse app",1,70.4.2,0
29,2021-10-26 13:30:37,"Não funciona off LINE! O povo mal ganha pra comer, como vai ter internet pra logar??!! Resolve aí poxa!! De que me adianta um app que tenho que logar toda vez que abrir?? Tem que funcionar nos moldes da carteira digital de trânsito!! Não recomendo!! É mais fácil e prático andar com a carteira de vacinação no bolso!! 👎👎👎👎👎",1,70.3.4,0
30,2021-10-26 13:12:00,App com bug,1,70.4.2,0
31,2021-10-26 13:11:51,"Certificado nacional indisponivel por falta de vacinação,sendo que meu ciclo 1a e 2a doses ok e reforço também. Lamentável, ferramenta não é confiável.",1,70.4.2,0
32,2021-10-26 09:57:28,Não funciona. Preciso urgente do meu certificado de vacina e não aparece nenhuma das duas. Já deu o prazo faz tempo.,1,70.4.2,0
33,2021-10-26 04:04:56,Muito ruim nao abre o app demora muito pra abrir,1,70.4.2,0
34,2021-10-26 02:31:52,Só avalie pra mensagem sair da tela,1,70.4.2,0
35,2021-10-26 02:21:01,Um lixo esse aplicativo já tomei a segunda dose no mês de agosto até agora nada só aparece a primeira dose uma piada esse conecte sus,1,70.4.2,0
36,2021-10-26 01:36:13,Nao consigo acessar esse app.,1,70.4.2,0
37,2021-10-26 01:30:22,"Deveria constar todas as vacinas que tomamos durante nossa vida, as doações de sangue, e nossas consultas pelo sus.",1,70.4.2,0
38,2021-10-26 00:21:12,Não atualiza a segunda dose da vacina. Já mandei 3 formulários e não tive resposta.,1,70.4.2,0
39,2021-10-25 23:34:15,não funciona sem gov.br que é pior pra pegar esse raio desse comprovante bastaria o CPF e resolvido,1,70.4.2,0
40,2021-10-25 23:08:44,Muito ruim não consegui fazer entrar.,1,70.4.2,0
41,2021-10-25 22:47:27,Toda hora pede login... Horrível,1,70.4.1,0
43,2021-10-25 21:11:35,O APP parece ser muito bom. No Futuro pode ser que venha a ajudar. Já tomei a 1ª e 2ª Dose da Vacina e até agora não apareceu nada no APP.,1,70.4.2,0
46,2021-10-25 17:22:44,Não conecta. Vira e mexe com falhas. É esse governo negacionista sabotando comprovante de vacinação.,1,70.4.1,0
47,2021-10-25 16:15:51,Desloga toda hora... Todo dia tem que fazer login,1,70.4.2,0
49,2021-10-25 15:54:53,O aplicativo trava qdo eu tento acessar minhas vacinas. Já tentei reinstalar várias vezes.,1,70.4.1,0
50,2021-10-25 15:42:15,"Esse aplicativo é muito complicado, mesmo colocando todos os dados exigidos para o acesso, redirecionamento da conta ao banco, voltamos a entrar para ter acesso e não temos êxito! 3 reconhecimentos da face até completar o sistema para tirar a segunda via do cartão de vacinação! Tentamos entrar novamente para conseguir o cartão do Ipe Saude RS e não permite o acesso!",1,70.4.0,26
51,2021-10-25 15:40:31,Não funciona,1,70.4.2,0
52,2021-10-25 15:28:48,Não funciona nada.,1,70.4.1,0
54,2021-10-25 15:03:35,💩,1,70.4.1,0
55,2021-10-25 14:55:20,Ruim.......nunca consegui usar.,1,70.4.2,104
56,2021-10-25 14:30:04,Péssimo,1,70.4.2,0
57,2021-10-25 14:23:26,"Não funciona, não aparece nada, nem meus dados.",1,70.4.1,0
58,2021-10-25 14:08:27,Só dá erro ao entrar. Toda vez tem de logar,1,70.4.2,1
59,2021-10-25 14:00:49,Depois dessa atualização não recebo mais o código de verificação de duas etapas. Arrumem isso urgente urgentíssimo.,1,70.4.2,1
60,2021-10-25 13:59:49,"Coloco meu cpf e aparece o nome de outra pessoa, número de telefone diferente e e-mail",1,70.4.2,0
61,2021-10-25 12:56:28,Esta dentro do que se espera do governo federal. DESFUNCIONAL.,1,70.4.1,0
62,2021-10-25 12:55:14,"Não está funcionando, não consigo mais ver as doses da covid. Falta mostrar as outras vacinas por isso 4⭐, mas é promissor. Quem diria que a marca da besta já está prontinha na palma da nossa mão rsrsrsrsrsrsrs e pra quem divida, fica sem se vacinar pra ver se compra alguma coisa daqui a pouco. O jeito é ir pra roça plantar o que for comer, virar cac e caçar javali com tanques e armas de destruição em massa de acordo com fantástico kkkkkkkkkkkkkkkk",1,70.4.1,22
63,2021-10-25 12:51:16,Não sei o porquê que os meus atendimentos no sus como crinica médica consulta com o ortopedista não aparece?,1,70.4.2,0
64,2021-10-25 12:14:24,Ele interrompe quando eu tento salvar meu certificado de vacinação perguntando se estou gostando,1,70.4.2,0
65,2021-10-25 12:11:36,"Péssimo app, se pudesse dava nenhum estrela, aplicativo só fecha forçando, não grava login, cheio de bug, péssima interface, vou deletar essa b0sta",1,70.4.1,0
66,2021-10-25 12:09:04,"Péssimo APP, minha primeira dose foi astrazeneca e apareceu Pfizer, sendo que a minha primeira dose foi dia 13/05/21 e a vacina da Pfizer só começou a ser aplicada no dia 21/05/21. Muito descaso.",1,70.4.1,0
67,2021-10-25 11:40:26,"O aplicativo não mantém a sessão por muito tempo, se a questão é segurança, poderiam adicionar o sistema de biometria. Já tem dois dias que tento entrar na opção vacina, mas a tela não muda ao clicar em entrar.",1,70.4.1,2
68,2021-10-25 11:34:03,"O apo não esta funcionando, Não consigo ver as vacinas, Depois da última atualização Ficou péssimo.",1,70.4.1,0
69,2021-10-25 11:22:44,Lixo,1,70.4.2,0
72,2021-10-25 06:56:52,Não aparece nada sobre às vacinas e outros serviços que diz oferecer. Não atualizam os dados do aplicativo.,1,70.4.2,0
73,2021-10-25 05:35:47,"Péssimo aplicativo, não consigo validar o cartão de vacina.",1,70.4.2,0
74,2021-10-25 03:57:47,"Pensa em um lixo. Agora adivinha é esse aplicativo. Não serve para nada, mais também o que se vai esperar de algo desse governo kkk",1,70.4.2,0
75,2021-10-25 01:38:07,Na hora que mais preciso não funciona.,1,70.4.1,0
76,2021-10-25 00:39:02,"Não registrou a segunda dose, que já tomei há seis meses. Escrevi para a ouvidoria, que me orientou voltar ao posto para solicitar o registro. O funcionário disse que o atraso é normal, basta esperar que tudo será resolvido. Já se passaram seis meses, escrevi uma segunda reclamação mas ninguém toma providências. Quando divulgam que milhões de pessoas não tomaram a segunda dose, não dá para acreditar.",1,70.4.1,3
77,2021-10-25 00:27:33,Não funciona....depois da última atualização não funciona mais. ...,1,70.4.1,0
78,2021-10-25 00:20:02,"Nada do governo funciona como deveria . Principalmente os aplicativos , Conect SUS , CLT digital !!!! Com está nova atualização piorou !!!!",1,70.4.1,0
79,2021-10-24 23:46:34,"Perderam todas as estrelas!!! Depois que atualizou, não consigo mais entrar na minha conta!!! Bugou tudo!!! Por favor, arrumem isso!!!",1,70.4.1,0
82,2021-10-24 22:43:23,"Inicialização de entrada do aplicativo, muito lento. Demora muito para a entrada.",1,70.4.1,0
83,2021-10-24 22:31:52,"A ideia do aplicativo é boa,mas não foi bem planejado Trava toda hora e some a vacina quase sempre que eu entro, literalmente horrível.",1,70.4.1,0
